Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
16,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
16,1505,3,NULL,0,0,51
16,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
18,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
19,1505,3,NULL,0,0,51
20,1505,3,NULL,0,0,51
17,1505,3,NULL,0,0,51
